id,transaction_id,product_id,type,qty_unit,cost_unit,subtotal
113,113,113,buy,4,8500,34000
114,114,114,buy,1,13600,13600
115,115,115,buy,13,748,9724
116,116,116,buy,1,10340,10340
117,117,117,buy,3,17325,51975
118,118,118,buy,1,10285,10285
119,119,119,buy,1,7348,7348
120,120,120,buy,1,1265,1265
121,121,121,buy,1,8239,8239
122,122,122,buy,3,10700,32100
123,123,123,buy,5,10700,53500
124,124,124,buy,1,9625,9625
125,125,125,buy,2,10700,21400
126,126,126,buy,2,7150,14300
127,127,127,buy,4,2992,11968
128,128,128,buy,1,2992,2992
129,129,129,buy,2,7150,14300
130,130,130,buy,1,9284,9284
131,131,131,buy,2,10395,20790
132,132,132,buy,1,9000,9000
133,133,133,buy,3,25245,75735
134,134,134,buy,3,25245,75735
135,135,135,buy,2,25245,50490
136,136,136,buy,4,11385,45540
137,137,137,buy,3,16885,50655
138,138,138,buy,1,3410,3410
139,139,139,buy,2,9790,19580
140,140,140,buy,1,9790,9790
141,141,141,buy,2,3410,6820
142,142,142,buy,2,9020,18040
143,143,143,buy,3,8470,25410
144,144,144,buy,1,8470,8470
145,145,145,buy,3,8470,25410
146,146,146,buy,2,8470,16940
147,147,147,buy,3,17270,51810
148,148,148,buy,1,12430,12430
149,149,149,buy,1,11275,11275
150,150,150,buy,2,11275,22550
151,151,151,buy,2,9900,19800
152,152,152,buy,1,9680,9680
153,153,153,buy,1,5335,5335
154,154,154,buy,3,12800,38400
155,155,155,buy,2,12800,25600
156,156,156,buy,3,17150,51450
157,157,157,buy,1,14700,14700
158,158,158,buy,2,14700,29400
159,159,159,buy,3,14700,44100
160,160,160,buy,1,22200,22200
161,161,161,buy,1,22200,22200
162,162,162,buy,1,22200,22200
163,163,163,buy,1,22200,22200
164,164,164,buy,6,3950,23700
165,165,165,buy,2,3950,7900
166,166,166,buy,1,3950,3950
167,167,167,buy,8,3133,25064
168,168,168,buy,1,18967,18967
169,169,169,buy,2,18967,37934
170,170,170,buy,1,18967,18967
171,171,171,buy,1,18967,18967
172,172,172,buy,6,3940,23640
173,173,173,buy,6,3482,20892
174,174,174,buy,2,3482,6964
175,175,175,buy,5,3482,17410
176,176,176,buy,5,2574,12870
177,177,177,buy,2,12000,24000
178,178,178,buy,1,12000,12000
179,179,179,buy,2,12000,24000
180,180,180,buy,2,12000,24000
181,181,181,buy,1,12000,12000
182,182,182,buy,3,10500,31500
183,183,183,buy,2,16000,32000
184,184,184,buy,3,12000,36000
185,185,185,buy,3,12500,37500
186,186,186,buy,2,20000,40000
187,187,187,buy,1,20000,20000
188,188,188,buy,2,25220,50440
189,189,189,buy,1,25705,25705
190,190,190,buy,1,25220,25220
191,191,191,buy,2,21000,42000
192,192,192,buy,2,5800,11600
193,193,193,buy,1,6305,6305
194,194,194,buy,1,5820,5820
195,195,195,buy,3,14550,43650
196,196,196,buy,3,14384,43152
197,197,197,buy,2,14321,28642
198,198,198,buy,2,13700,27400
199,199,199,buy,1,13700,13700
200,200,200,buy,2,21200,42400
201,201,201,buy,1,33550,33550
202,202,202,buy,3,5000,15000
203,203,203,buy,3,5000,15000
204,204,204,buy,1,5000,5000
205,205,205,buy,3,5000,15000
206,206,206,buy,2,22932,45864
207,207,207,buy,2,22932,45864
208,208,208,buy,2,22932,45864
209,209,209,buy,1,20680,20680
210,210,210,buy,1,19580,19580
211,211,211,buy,1,13200,13200
212,212,212,buy,1,18500,18500
213,213,213,buy,1,17000,17000
214,214,214,buy,1,15500,15500
215,215,215,buy,2,19885,39770
216,216,216,buy,1,11000,11000
217,217,217,buy,1,8500,8500
218,218,218,buy,2,15035,30070
219,219,219,buy,1,17000,17000
220,220,220,buy,1,17500,17500
221,221,221,buy,1,14000,14000
222,222,222,buy,2,28000,56000
223,223,223,buy,1,21500,21500
224,224,224,buy,2,21500,43000
225,225,225,buy,2,14400,28800
226,226,226,buy,2,14400,28800
227,227,227,buy,1,14400,14400
228,228,228,buy,1,13411,13411
229,229,229,buy,2,13411,26822
230,230,230,buy,1,14256,14256
231,231,231,buy,2,14256,28512
232,232,232,buy,1,20240,20240
233,233,233,buy,1,17000,17000
234,234,234,buy,1,17000,17000
235,235,235,buy,1,30690,30690
236,236,236,buy,18,4187,75366
237,237,237,buy,6,1610,9660
238,238,238,buy,24,1698,40752
239,239,239,buy,12,1398,16776
240,240,240,buy,70,1698,118860
241,241,241,buy,24,1083,25992
242,242,242,buy,9,1340,12060
243,243,243,buy,18,1451,26118
244,244,244,buy,2,9900,19800
245,245,245,buy,2,32315,64630
246,246,246,buy,2,70000,140000
247,247,247,buy,2,8250,16500
248,248,248,buy,2,54100,108200
249,249,249,buy,5,16087,80435
250,250,250,buy,2,11880,23760
251,251,251,buy,1,40755,40755
252,252,252,buy,2,15283,30566
253,253,253,buy,3,17033,51099
254,254,254,buy,3,16852,50556
255,255,255,buy,1,16918,16918
256,256,256,buy,1,59000,59000
257,257,257,buy,2,47338,94676
258,258,258,buy,1,30450,30450
259,259,259,buy,1,67293,67293
260,260,260,buy,1,67293,67293
261,261,261,buy,9,4500,40500
262,262,262,buy,9,6255,56295
263,263,263,buy,3,8260,24780
264,264,264,buy,2,5595,11190
265,265,265,buy,5,1119,5595
266,266,266,buy,1,11900,11900
267,267,267,buy,1,19599,19599
268,268,268,buy,9,12100,108900
269,269,269,buy,5,8965,44825
270,270,270,buy,4,4000,16000
271,271,271,buy,4,4290,17160
272,272,272,buy,1,50000,50000
273,273,273,buy,2,15708,31416
274,274,274,buy,2,11425,22850
275,275,275,buy,7,9520,66640
276,276,276,buy,1,46000,46000
277,277,277,buy,2,16600,33200
278,278,278,buy,3,17050,51150
279,279,279,buy,2,17050,34100
280,280,280,buy,1,20957,20957
281,281,281,buy,2,31038,62076
282,282,282,buy,1,22031,22031
283,283,283,buy,1,22031,22031
284,284,284,buy,1,22031,22031
285,285,285,buy,1,28351,28351
286,286,286,buy,2,8500,17000
287,287,287,buy,1,8414,8414
288,288,288,buy,2,10230,20460
289,289,289,buy,4,23430,93720
290,290,290,buy,4,4700,18800
291,291,291,buy,6,6000,36000
292,292,292,buy,5,5200,26000
293,293,293,buy,7,6800,47600
294,294,294,buy,1,9400,9400
295,295,295,buy,6,6250,37500
296,296,296,buy,1,6250,6250
297,297,297,buy,8,4750,38000
298,298,298,buy,5,4500,22500
299,299,299,buy,4,4500,18000
300,300,300,buy,7,4859,34013
301,301,301,buy,7,5357,37499
302,302,302,buy,2,5357,10714
303,303,303,buy,3,8195,24585
304,304,304,buy,6,8195,49170
305,305,305,buy,2,2604,5208
306,306,306,buy,1,2604,2604
307,307,307,buy,10,3068,30680
308,308,308,buy,4,3068,12272
309,309,309,buy,1,2883,2883
310,310,310,buy,3,3068,9204
311,311,311,buy,1,3354,3354
312,312,312,buy,4,10508,42032
313,313,313,buy,2,10714,21428
314,314,314,buy,3,15308,45924
315,315,315,buy,2,15309,30618
316,316,316,buy,3,18897,56691
317,317,317,buy,44,230,10120
318,318,318,buy,7,5958,41706
319,319,319,buy,2,6208,12416
320,320,320,buy,7,4583,32081
321,321,321,buy,3,4750,14250
322,322,322,buy,3,4625,13875
323,323,323,buy,6,3125,18750
324,324,324,buy,2,3167,6334
325,325,325,buy,2,3166,6332
326,326,326,buy,5,3166,15830
327,327,327,buy,3,3167,9501
328,328,328,buy,1,3167,3167
329,329,329,buy,1,3167,3167
330,330,330,buy,4,5449,21796
331,331,331,buy,3,7999,23997
332,332,332,buy,1,4400,4400
333,333,333,buy,3,7150,21450
334,334,334,buy,1,5952,5952
335,335,335,buy,1,5752,5752
336,336,336,buy,1,4200,4200
337,337,337,buy,4,5950,23800
338,338,338,buy,1,18500,18500
339,339,339,buy,3,11594,34782
340,340,340,buy,2,11586,23172
341,341,341,buy,3,6064,18192
342,342,342,buy,2,6186,12372
343,343,343,buy,4,2100,8400
344,344,344,buy,5,2100,10500
345,345,345,buy,1,5500,5500
346,346,346,buy,1,1500,1500
347,347,347,buy,10,4500,45000
348,348,348,buy,3,1350,4050
349,349,349,buy,20,600,12000
350,350,350,buy,40,833,33320
351,351,351,buy,1,4410,4410
352,352,352,buy,19,1666,31654
353,353,353,buy,17,2499,42483
354,354,354,buy,20,882,17640
355,355,355,buy,22,950,20900
356,356,356,buy,30,812,24360
357,357,357,buy,6,812,4872
358,358,358,buy,2,8470,16940
359,359,359,buy,3,10499,31497
360,360,360,buy,4,9499,37996
361,361,361,buy,1,5313,5313
362,362,362,buy,3,5200,15600
363,363,363,buy,7,5200,36400
364,364,364,buy,40,781,31240
365,365,365,buy,2,1600,3200
366,366,366,buy,14,1600,22400
367,367,367,buy,20,1600,32000
368,368,368,buy,1,791,791
369,369,369,buy,6,708,4248
370,370,370,buy,18,5974,107532
371,371,371,buy,1,2395,2395
372,372,372,buy,21,1458,30618
373,373,373,buy,4,12600,50400
374,374,374,buy,1,90800,90800
375,375,375,buy,1,90800,90800
376,376,376,buy,1,90800,90800
377,377,377,buy,3,39900,119700
378,378,378,buy,2,39900,79800
379,379,379,buy,2,39900,79800
380,380,380,buy,1,32000,32000
381,381,381,buy,1,27900,27900
382,382,382,buy,1,27900,27900
383,383,383,buy,1,27900,27900
384,384,384,buy,6,35980,215880
385,385,385,buy,2,35980,71960
386,386,386,buy,3,1624,4872
387,387,387,buy,3,1624,4872
388,388,388,buy,2,900,1800
389,389,389,buy,10,900,9000
390,390,390,buy,6,1575,9450
391,391,391,buy,4,3292,13168
392,392,392,buy,2,6250,12500
393,393,393,buy,1,4306,4306
394,394,394,buy,3,4299,12897
395,395,395,buy,3,4299,12897
396,396,396,buy,6,2049,12294
397,397,397,buy,1,15830,15830
398,398,398,buy,6,5080,30480
399,399,399,buy,3,5080,15240
400,400,400,buy,1,5080,5080
401,401,401,buy,1,5569,5569
402,402,402,buy,1,4950,4950
403,403,403,buy,1,7087,7087
404,404,404,buy,2,2128,4256
405,405,405,buy,6,2128,12768
406,406,406,buy,2,2128,4256
407,407,407,buy,3,1600,4800
408,408,408,buy,2,6250,12500
409,409,409,buy,3,5725,17175
410,410,410,buy,35,801,28035
411,411,411,buy,10,450,4500
412,412,412,buy,8,4972,39776
413,413,413,buy,19,3458,65702
414,414,414,buy,2,3667,7334
415,415,415,buy,2,7537,15074
416,416,416,buy,2,14459,28918
417,417,417,buy,1,14459,14459
418,418,418,buy,1,11606,11606
419,419,419,buy,2,15115,30230
420,420,420,buy,1,22682,22682
421,421,421,buy,2,24921,49842
422,422,422,buy,1,48280,48280
423,423,423,buy,3,48280,144840
424,424,424,buy,2,45534,91068
425,425,425,buy,2,47831,95662
426,426,426,buy,2,94791,189582
427,427,427,buy,270,850,229500
428,428,428,buy,4,802,3208
429,429,429,buy,8,1249,9992
430,430,430,buy,6,1249,7494
431,431,431,buy,3,9075,27225
432,432,432,buy,60,586,35160
433,433,433,buy,22,1200,26400
434,434,434,buy,20,1023,20460
435,435,435,buy,10,1023,10230
436,436,436,buy,30,1023,30690
437,437,437,buy,10,1023,10230
438,438,438,buy,30,1023,30690
439,439,439,buy,60,1023,61380
440,440,440,buy,11,3996,43956
441,441,441,buy,2,29558,59116
442,442,442,buy,1,28785,28785
443,443,443,buy,1,28785,28785
444,444,444,buy,3,4560,13680
445,445,445,buy,1,17600,17600
446,446,446,buy,2,4400,8800
447,447,447,buy,1,20900,20900
448,448,448,buy,1,28160,28160
449,449,449,buy,1,28160,28160
450,450,450,buy,1,15539,15539
451,451,451,buy,1,18000,18000
452,452,452,buy,2,7500,15000
453,453,453,buy,1,9020,9020
454,454,454,buy,4,8600,34400
455,455,455,buy,2,8500,17000
456,456,456,buy,1,8240,8240
457,457,457,buy,1,8360,8360
458,458,458,buy,2,7920,15840
459,459,459,buy,3,5807,17421
460,460,460,buy,3,13000,39000
461,461,461,buy,1,14256,14256
462,462,462,buy,1,14256,14256
463,463,463,buy,2,14256,28512
464,464,464,buy,1,14000,14000
465,465,465,buy,1,10000,10000
466,466,466,buy,1,19751,19751
467,467,467,buy,1,21285,21285
468,468,468,buy,2,10000,20000
469,469,469,buy,1,10000,10000
470,470,470,buy,1,10000,10000
471,471,471,buy,1,12245,12245
472,472,472,buy,1,15780,15780
473,473,473,buy,1,15780,15780
474,474,474,buy,1,14400,14400
475,475,475,buy,1,14400,14400
476,476,476,buy,1,14400,14400
477,477,477,buy,2,12000,24000
478,478,478,buy,1,20519,20519
479,479,479,buy,1,25000,25000
480,480,480,buy,4,6900,27600
481,481,481,buy,4,5665,22660
482,482,482,buy,1,5271,5271
483,483,483,buy,1,5271,5271
484,484,484,buy,1,5271,5271
485,485,485,buy,1,56165,56165
486,486,486,buy,2,5011,10022
487,487,487,buy,1,5780,5780
488,488,488,buy,3,5616,16848
489,489,489,buy,2,5104,10208
490,490,490,buy,1,5104,5104
491,491,491,buy,1,9240,9240
492,492,492,buy,1,8310,8310
493,493,493,buy,1,8463,8463
494,494,494,buy,1,8310,8310
495,495,495,buy,2,7849,15698
496,496,496,buy,1,7849,7849
497,497,497,buy,1,6000,6000
498,498,498,buy,2,2000,4000
499,499,499,buy,2,2000,4000
500,500,500,buy,3,87480,262440
501,501,501,buy,1,56700,56700
502,502,502,buy,2,42525,85050
503,503,503,buy,2,28755,57510
504,504,504,buy,2,33615,67230
505,505,505,buy,3,52245,156735
506,506,506,buy,1,50872,50872
507,507,507,buy,3,54315,162945
508,508,508,buy,2,35572,71144
509,509,509,buy,2,35000,70000
510,510,510,buy,3,36720,110160
511,511,511,buy,2,27157,54314
512,512,512,buy,1,69615,69615
513,513,513,buy,3,45000,135000
514,514,514,buy,3,42800,128400
515,515,515,buy,1,53550,53550
516,516,516,buy,3,32100,96300
517,517,517,buy,1,29070,29070
518,518,518,buy,1,15000,15000
519,519,519,buy,2,10000,20000
520,520,520,buy,1,4500,4500
521,521,521,buy,2,64100,128200
522,522,522,buy,1,6500,6500
523,523,523,buy,1,2500,2500
524,524,524,buy,2,4500,9000
525,525,525,buy,4,10500,42000
526,526,526,buy,1,10500,10500
527,527,527,buy,7,15000,105000
528,528,528,buy,33,1200,39600
529,529,529,buy,11,7200,79200
530,530,530,buy,5,9552,47760
531,531,531,buy,9,8875,79875
532,532,532,buy,8,3885,31080
533,533,533,buy,11,4000,44000
534,534,534,buy,9,4000,36000
535,535,535,buy,5,9167,45835
536,536,536,buy,1,15583,15583
537,537,537,buy,2,7580,15160
538,538,538,buy,1,15271,15271
539,539,539,buy,2,4348,8696
540,540,540,buy,2,13169,26338
541,541,541,buy,1,7000,7000
542,542,542,buy,1,20570,20570
543,543,543,buy,3,14000,42000
544,544,544,buy,1,13000,13000
545,545,545,buy,2,29920,59840
546,546,546,buy,26,1266,32916
547,547,547,buy,14,1383,19362
548,548,548,buy,15,740,11100
549,549,549,buy,5,1750,8750
550,550,550,buy,2,7741,15482
551,551,551,buy,1,7741,7741
552,552,552,buy,1,7741,7741
553,553,553,buy,1,16000,16000
554,554,554,buy,1,18100,18100
555,555,555,buy,7,2500,17500
556,556,556,buy,26,2462,64012
557,557,557,buy,29,2462,71398
558,558,558,buy,13,2462,32006
559,559,559,buy,4,3000,12000
560,560,560,buy,2,2955,5910
561,561,561,buy,19,3900,74100
