id,user_id,total_cost,payment_method
393,1,4306,cash
394,1,12897,cash
395,1,12897,cash
396,1,12294,cash
397,1,15830,cash
398,1,30480,cash
399,1,15240,cash
400,1,5080,cash
401,1,5569,cash
402,1,4950,cash
403,1,7087,cash
404,1,4256,cash
405,1,12768,cash
406,1,4256,cash
407,1,4800,cash
408,1,12500,cash
409,1,17175,cash
410,1,28035,cash
411,1,4500,cash
412,1,39776,cash
413,1,65702,cash
414,1,7334,cash
415,1,15074,cash
416,1,28918,cash
417,1,14459,cash
418,1,11606,cash
419,1,30230,cash
420,1,22682,cash
421,1,49842,cash
422,1,48280,cash
423,1,144840,cash
424,1,91068,cash
425,1,95662,cash
426,1,189582,cash
427,1,229500,cash
428,1,3208,cash
429,1,9992,cash
430,1,7494,cash
431,1,27225,cash
432,1,35160,cash
433,1,26400,cash
434,1,20460,cash
435,1,10230,cash
436,1,30690,cash
437,1,10230,cash
438,1,30690,cash
439,1,61380,cash
440,1,43956,cash
441,1,59116,cash
442,1,28785,cash
443,1,28785,cash
444,1,13680,cash
445,1,17600,cash
446,1,8800,cash
447,1,20900,cash
448,1,28160,cash
449,1,28160,cash
450,1,15539,cash
451,1,18000,cash
452,1,15000,cash
453,1,9020,cash
454,1,34400,cash
455,1,17000,cash
456,1,8240,cash
457,1,8360,cash
458,1,15840,cash
459,1,17421,cash
460,1,39000,cash
461,1,14256,cash
462,1,14256,cash
463,1,28512,cash
464,1,14000,cash
465,1,10000,cash
466,1,19751,cash
467,1,21285,cash
468,1,20000,cash
469,1,10000,cash
470,1,10000,cash
471,1,12245,cash
472,1,15780,cash
473,1,15780,cash
474,1,14400,cash
475,1,14400,cash
476,1,14400,cash
477,1,24000,cash
478,1,20519,cash
479,1,25000,cash
480,1,27600,cash
481,1,22660,cash
482,1,5271,cash
483,1,5271,cash
484,1,5271,cash
485,1,56165,cash
486,1,10022,cash
487,1,5780,cash
488,1,16848,cash
489,1,10208,cash
490,1,5104,cash
491,1,9240,cash
492,1,8310,cash
493,1,8463,cash
494,1,8310,cash
495,1,15698,cash
496,1,7849,cash
497,1,6000,cash
498,1,4000,cash
499,1,4000,cash
500,1,262440,cash
501,1,56700,cash
502,1,85050,cash
503,1,57510,cash
504,1,67230,cash
505,1,156735,cash
506,1,50872,cash
507,1,162945,cash
508,1,71144,cash
509,1,70000,cash
510,1,110160,cash
511,1,54314,cash
512,1,69615,cash
513,1,135000,cash
514,1,128400,cash
515,1,53550,cash
516,1,96300,cash
517,1,29070,cash
518,1,15000,cash
519,1,20000,cash
520,1,4500,cash
521,1,128200,cash
522,1,6500,cash
523,1,2500,cash
524,1,9000,cash
525,1,42000,cash
526,1,10500,cash
527,1,105000,cash
528,1,39600,cash
529,1,79200,cash
530,1,47760,cash
531,1,79875,cash
532,1,31080,cash
533,1,44000,cash
534,1,36000,cash
535,1,45835,cash
536,1,15583,cash
537,1,15160,cash
538,1,15271,cash
539,1,8696,cash
540,1,26338,cash
541,1,7000,cash
542,1,20570,cash
543,1,42000,cash
544,1,13000,cash
545,1,59840,cash
546,1,32916,cash
547,1,19362,cash
548,1,11100,cash
549,1,8750,cash
550,1,15482,cash
551,1,7741,cash
552,1,7741,cash
553,1,16000,cash
554,1,18100,cash
555,1,17500,cash
556,1,64012,cash
557,1,71398,cash
558,1,32006,cash
559,1,12000,cash
560,1,5910,cash
561,1,74100,cash
